,slot,ORIGINAL DESCRIP,DESCRIP LINE 1,Description line 2,CHARACTERS,,UNIT OF MEASURE,WEIGHT CORRECTION,CONVERSION,OMIT,DESCRIP 1,DESCRIP 2,,,,,,
111,#N/A,#N/A,,,0,#N/A,,,,,,,,,,,,
222,#N/A,#N/A,,,0,#N/A,,,,,,,,,,,,
333,#N/A,#N/A,,,0,#N/A,,,,,,,,,,,,
10242,#N/A,#N/A,FLOUR TORTILLA,"6""",14,#N/A,CT,,1.00,,,,,,,,,
10244,#N/A,#N/A,FLOUR TORTILLA,"10""",14,#N/A,CT,,1.00,,,,,,,,,
10246,#N/A,#N/A,FLOUR TORTILLA,"12""",14,#N/A,CT,,1.00,,,,,,,,,
10247,#N/A,#N/A,FLOUR TORTILLA,"6"" TARO",14,#N/A,CT,,1.00,,,,,,,,,
10249,#N/A,#N/A,FLOUR TORTILLA,"12"" SPINACH",14,#N/A,CT,,1.00,,,,,,,,,
10250,#N/A,#N/A,FLOUR TORTILLA,"12"" TOMATO",14,#N/A,CT,,1.00,,,,,,,,,
10251,#N/A,#N/A,FLOUR TORTILLA,"14""",14,#N/A,CT,,1.00,,,,,,,,,
10252,#N/A,#N/A,FLOUR TORTILLA,"8""",14,#N/A,CT,,1.00,,,,,,,,,
10253,#N/A,#N/A,WHITE CORN TORTILLA,"4""",19,#N/A,CT,,1.00,,,,,,,,,
10254,#N/A,#N/A,WHITE CORN TORTILLA,"6"" 7 OZ",19,#N/A,CT,,1.00,,,,,,,,,
10255,#N/A,#N/A,WHITE CORN TORTILLA,"6""",19,#N/A,CT,,1.00,,,,,,,,,
10256,#N/A,#N/A,WHOLE WHEAT TORTILLA,"12""",20,#N/A,CT,,1.00,,,,,,,,,
10257,#N/A,#N/A,TORTILLA CHIPS,PRE CUT MIX,14,#N/A,LB,,1.00,,,,,,,,,
10258,#N/A,#N/A,TORTILLA CHIPS,"WHITE CORN, PRE CUT",14,#N/A,LB,,1.00,,,,,,,,,
10259,#N/A,#N/A,TORTILLA CHIPS,TRIANGLE PALLET,14,#N/A,LB,,1.00,,,,,,,,,
10260,#N/A,#N/A,TORTILLA CHIPS,ROUND,14,#N/A,LB,,1.00,,,,,,,,,
10261,#N/A,#N/A,,,0,#N/A,LB,,1.00,,,,,,,,,
10262,#N/A,#N/A,TORTILLA CHIPS,TRIANGLE,14,#N/A,LB,,1.00,,,,,,,,,
11206,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
11458,#N/A,#N/A,CHINESE STYLE PORK,CHAR SIU,18,#N/A,LB,,1.00,,,,,,,,,
12001,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12008,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12009,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12023,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12025,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12027,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12036,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12037,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12083,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12085,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12088,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
12089,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
19201,#N/A,#N/A,DRIED ANCHOVY,,13,#N/A,OZ,,1.00,,,,,,,,,
19202,#N/A,#N/A,DRIED POLLACK,SHRED/SEASONED,13,#N/A,LB,,1.00,,,,,,,,,
19203,#N/A,#N/A,DRIED ANCHOVY,,13,#N/A,OZ,,1.00,,,,,,,,,
19204,#N/A,#N/A,DRIED ANCHOVY,,13,#N/A,OZ,,1.00,,,,,,,,,
19205,#N/A,#N/A,DRIED ANCHOVY,,13,#N/A,LB,,1.00,,,,,,,,,
19206,#N/A,#N/A,DRIED ANCHOVY,,13,#N/A,LB,,1.00,,,,,,,,,
19207,#N/A,#N/A,"CHIRIMEN ""JIRI"" ANCHOVY",,23,#N/A,LB,,1.00,,,,,,,,,
