ITEM,Custom1,Custom2
10242,FLOUR TORTILLA,"6"""
10244,FLOUR TORTILLA,"10"""
10246,FLOUR TORTILLA,"12"""
10247,FLOUR TORTILLA,"6"" TARO"
10249,FLOUR TORTILLA,"12"" SPINACH"
10250,FLOUR TORTILLA,"12"" TOMATO"
10251,FLOUR TORTILLA,"14"""
10252,FLOUR TORTILLA,"8"""
10253,WHITE CORN TORTILLA,"4"""
10254,WHITE CORN TORTILLA,"6"" 7 OZ"
10255,WHITE CORN TORTILLA,"6"""
10256,WHOLE WHEAT TORTILLA,"12"""
10257,TORTILLA CHIPS,PRE CUT MIX
10258,TORTILLA CHIPS,"WHITE CORN, PRE CUT"
10259,TORTILLA CHIPS,TRIANGLE PALLET
10260,TORTILLA CHIPS,ROUND
10262,TORTILLA CHIPS,TRIANGLE
11458,CHINESE STYLE PORK,CHAR SIU
19201,DRIED ANCHOVY,
19202,DRIED POLLACK,SHRED/SEASONED
19203,DRIED ANCHOVY,
19204,DRIED ANCHOVY,
19205,DRIED ANCHOVY,
19206,DRIED ANCHOVY,
19207,"CHIRIMEN ""JIRI"" ANCHOVY",
762159,ACETATE SHEETS,FULL SIZE
21092,HAWAIIAN COFFEE,REGULAR ROAST
21093,KONA COFFEE ,REGULAR
21098,"COFFEE, HAWAIIAN PARADISE",DECAF
21132,"COFFEE, HAWAIIAN PARADISE",
21218,"COFFEE, WAIALUA",DECAF
21219,"COFFEE, WAIALUA",WHOLEBEAN
21220,"COFFEE, EL SALVADOR MEDIUM","MEDIUM, WHOLEBEAN"
21221,"COFFEE, EL SALVADOR ","MEDIUM, GROUND"
21222,"COFFEE, BRAZIL","DARK, WHOLEBEAN"
21223,"COFFEE, BRAZIL","DARK, GROUND"
21224,"COFFEE, MEXICO","DECAF, WHOLEBEAN"
21225,"COFFEE, MEXICO",DECAF GROUND
21226,"COFFEE, CONA ROAST",
21227,"COFFEE, KONA ROAST",DECAF
21228,"COFFEE, WAIALUA ROAST",
21229,"COFFEE, WAIALUA ROAST",DECAF
21230,"COFFEE, HAWAIIAN PARADISE",
21231,"COFFEE, HAWAIIAN PARADISE",DECAF
21232,"COFFEE, WAIALUA ROAST",
21233,"COFFEE, HAWAIIAN PARADISE",
21234,"COFFEE, KONA ROASAT",
22000,GATORADE ,FRUIT PUNCH
22018,FRUIT PUNCH,1.0
22021,V8 FUSION,POMEGRANATE BLUEBERRY
22022,V8 FUSION,STRAWBERRY BANANA
22025,APPLE JUICE,
22036,APPLE JUICE,
22047,SPARKLING APPLE CIDER,
22065,APPLE JUICE,
22067,ORANGE JUICE,
22068,TOMATO JUICE,
22069,CRANBERRY COCKTAIL,
22078,APPLE JUICE,UNSWEET
22080,ORANGE JUICE,UNSWEET
22089,GRAPEFRUIT JUICE,UNSWEET
22090,APPLE JUICE,UNSWEET
22091,TOMATO JUICE,100% NATURAL
22100,MANGO ORANGE DRINK,
22101,GUAVA NECTAR,
22102,PASSION ORANGE DRINK,
