ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
10263,WHITE CORN TORTILLA,"5""",10 / 60.0 CT,ARTURO'S,73366224830,"",&,$40.88,UNIT,0.06813333333333334,PER CT,5020
41035,HAVARTI CHEESE ,LOAF,1 / 9.0 LB,CASTELLO,41035,"",&,$6.79,PER LB,,,2862
41036,HAVARTI CHEESE,DILL LOAF,1 / 9.0 LB,CASTELLO,41036,"",&,$6.79,PER LB,,,2862
41111,LOCAL MED EGGS,GRADE A,6 / 2.5 OZ,HAWAIIAN M,41111,"",&,$45.16,UNIT,3.0106666666666664,PER OZ,2416
41199,GOAT CHEESE,WILD BLUEBRY VANILLA,6 / 10.5 OZ,CHEVRAI,41199,"",&,$31.12,UNIT,0.493968253968254,PER OZ,2558
41253,CHEESE,FETA,1 / 2.0 LB,NAKED COW,696859005770,"",&,$27.29,UNIT,13.645,PER LB,2901
53347,PIZZA DOUGH ,BALL,96 / 5.0 OZ,RICH PRODU,00049800346062,468383,+,$52.91,UNIT,0.11022916666666666,PER OZ,54200
53560,PUMPKIN BUNDT CAKE,W/SPICED CREAM,4 / 2.98 LB,SWEET STRE,10749017025350,549159,@,$84.36,UNIT,7.077181208053691,PER LB,4258
69090,EGG WASH ,W/ SPRAYER,6 / 2.3 OZ,BAK-KLENE,10080378167502,623210,&,$34.43,UNIT,2.4949275362318843,PER OZ,2492
101514,"6"" TORTILLA CHIPS",WHITE 4-CUT,1 / 25.0 LB,SINALOA,74701800204,"",&,$28.14,UNIT,1.1256,PER LB,8112
112312,BONE MARROW,"6"" CANOE CUT FRZ",1 / 10.0 LB,K&M,112312,"",C,$4.39,PER LB,,,27162
113665,LARGE PORK SKIN,RENDERED,1 / 15.0 LB,FARMLAND,113665,"",C,$61.800000000000004,UNIT,4.12,PER LB,27201
114066,CUSHION PORK,BL NAT,4 / 61.5 LB,FARMER JOH,90050500008238,"",&,$1.76,PER LB,,,20572
115772,BEEF RIBEYE,LIP-ON B/I,4 / 20.0 LB,MARBLE RIC,115772,"",P,$5.89,PER LB,,,50684
116719,BEEF RIBEYE ,LIP-ON 2X2,5 / 16.0 LB,MARBLE RIC,11332/21332,"",C,$6.66,PER LB,,,50684
116731,BEEF STRIPLOIN,1X1,5 / 14.0 LB,MARBLE RIC,17899/27899,"",C,$4.74,PER LB,,,50683
199055,SNOW CRAB CLUSTER,8 UP,1 / 30.0 LB,PACKER,199055,"",C,$276.90000000000003,UNIT,9.23,PER LB,2758
201069,"TOASTS, PARIS","",24 / 2.75 OZ,ILE DE FRA,201069,"",&,$31.72,UNIT,0.4806060606060606,PER OZ,2862
